 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.604  470.015  478.001  486.367  488.594  491.079
    0.642  470.016  477.807  485.806  487.936  490.310
    0.680  470.017  477.576  485.189  487.217  489.476
    0.717  470.017  477.383  484.669  486.610  488.770
    0.755  470.018  477.425  484.627  486.546  488.682
    0.793  470.019  476.066  481.852  483.396  485.107
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.10   69.197  470.000  470.019  478.245  489.988
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.462  472.135  472.352  472.789
    0.076  470.000  472.062  477.996  478.759  480.317
    0.113  470.001  472.283  478.020  478.757  480.263
    0.151  470.001  472.550  478.371  479.119  480.648
    0.189  470.002  472.848  478.881  479.656  481.241
    0.227  470.002  473.142  479.407  480.211  481.858
    0.264  470.003  473.418  479.890  480.720  482.422
    0.302  470.003  473.673  480.326  481.179  482.929
    0.340  470.004  473.893  480.671  481.540  483.323
    0.378  470.004  474.072  480.916  481.793  483.595
    0.415  470.005  474.222  481.096  481.977  483.787
    0.453  470.005  474.312  481.132  482.006  483.801
    0.491  470.006  474.364  481.083  481.944  483.713
    0.529  470.006  474.371  480.938  481.779  483.507
    0.566  470.007  474.328  480.680  481.495  483.166
    0.604  470.007  474.242  480.335  481.117  482.720
    0.642  470.008  474.139  479.965  480.713  482.245
    0.680  470.008  474.017  479.562  480.274  481.731
    0.717  470.009  473.914  479.220  479.902  481.296
    0.755  470.009  473.936  479.182  479.856  481.234
    0.793  470.009  473.216  477.430  477.972  479.078
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.20   86.496  470.000  470.010  474.371  482.006
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.888  473.231  473.859  474.547
    0.076  470.001  473.966  482.273  484.489  486.948
    0.113  470.002  474.390  482.421  484.564  486.941
    0.151  470.003  474.903  483.053  485.226  487.639
    0.189  470.004  475.476  483.923  486.174  488.677
    0.227  470.005  476.042  484.813  487.149  489.750
    0.264  470.006  476.572  485.633  488.046  490.735
    0.302  470.007  477.063  486.377  488.856  491.622
    0.340  470.008  477.485  486.974  489.499  492.319
    0.378  470.009  477.829  487.412  489.961  492.809
    0.415  470.010  478.118  487.742  490.302  493.164
    0.453  470.011  478.292  487.840  490.379  493.218
    0.491  470.012  478.391  487.798  490.300  493.097
    0.529  470.013  478.406  487.599  490.044  492.777
    0.566  470.014  478.323  487.216  489.582  492.224
    0.604  470.015  478.158  486.688  488.959  491.492
    0.642  470.016  477.961  486.116  488.288  490.709
    0.680  470.017  477.724  485.487  487.555  489.858
    0.717  470.018  477.527  484.956  486.935  489.138
    0.755  470.019  477.570  484.914  486.870  489.048
    0.793  470.019  476.185  482.085  483.659  485.404
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.20   69.197  470.000  470.020  478.406  490.379
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.471  472.176  472.397  472.843
    0.076  470.000  472.102  478.150  478.928  480.515
    0.113  470.001  472.327  478.174  478.926  480.461
    0.151  470.001  472.599  478.532  479.294  480.853
    0.189  470.002  472.902  479.052  479.842  481.458
    0.227  470.002  473.203  479.588  480.408  482.086
    0.264  470.003  473.483  480.080  480.926  482.661
    0.302  470.003  473.744  480.524  481.394  483.178
    0.340  470.004  473.967  480.876  481.762  483.580
    0.378  470.004  474.150  481.126  482.020  483.856
    0.415  470.005  474.303  481.309  482.207  484.052
    0.453  470.005  474.395  481.346  482.237  484.067
    0.491  470.006  474.448  481.296  482.174  483.976
    0.529  470.006  474.455  481.148  482.006  483.767
    0.566  470.007  474.411  480.885  481.715  483.419
    0.604  470.007  474.324  480.534  481.331  482.964
    0.642  470.008  474.219  480.157  480.919  482.480
    0.680  470.008  474.094  479.745  480.471  481.957
    0.717  470.009  473.989  479.398  480.092  481.514
    0.755  470.009  474.012  479.358  480.045  481.450
    0.793  470.010  473.278  477.573  478.125  479.252
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.30   86.496  470.000  470.010  474.455  482.237
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.905  473.293  473.933  474.634
    0.076  470.001  474.042  482.509  484.768  487.274
    0.113  470.002  474.474  482.660  484.843  487.267
    0.151  470.003  474.998  483.304  485.518  487.979
    0.189  470.004  475.581  484.190  486.485  489.037
    0.227  470.005  476.158  485.098  487.479  490.131
    0.264  470.006  476.698  485.934  488.392  491.134
    0.302  470.007  477.199  486.692  489.218  492.038
    0.340  470.008  477.629  487.301  489.874  492.749
    0.378  470.009  477.980  487.746  490.344  493.248
    0.415  470.010  478.274  488.084  490.692  493.609
    0.453  470.011  478.451  488.183  490.771  493.665
    0.491  470.012  478.553  488.140  490.690  493.541
    0.529  470.013  478.568  487.937  490.429  493.215
    0.566  470.014  478.483  487.547  489.958  492.652
    0.604  470.015  478.315  487.009  489.323  491.906
    0.642  470.016  478.114  486.426  488.639  491.108
    0.680  470.017  477.873  485.785  487.892  490.240
    0.717  470.018  477.672  485.244  487.260  489.507
    0.755  470.019  477.716  485.201  487.194  489.415
    0.793  470.020  476.304  482.317  483.921  485.700
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.30   69.197  470.000  470.020  478.568  490.771
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.479  472.217  472.442  472.896
    0.076  470.000  472.142  478.304  479.096  480.714
    0.113  470.001  472.371  478.328  479.094  480.658
    0.151  470.001  472.648  478.693  479.470  481.058
    0.189  470.002  472.957  479.223  480.027  481.674
    0.227  470.002  473.263  479.769  480.604  482.314
    0.264  470.003  473.549  480.270  481.132  482.900
    0.302  470.003  473.814  480.723  481.609  483.427
    0.340  470.004  474.042  481.081  481.983  483.836
    0.378  470.004  474.228  481.336  482.247  484.118
    0.415  470.005  474.384  481.523  482.437  484.317
    0.453  470.006  474.478  481.560  482.467  484.332
    0.491  470.006  474.531  481.509  482.403  484.240
    0.529  470.007  474.540  481.358  482.232  484.027
    0.566  470.007  474.494  481.091  481.936  483.673
    0.604  470.008  474.405  480.733  481.544  483.209
    0.642  470.008  474.299  480.348  481.124  482.716
    0.680  470.009  474.171  479.929  480.668  482.182
    0.717  470.009  474.065  479.575  480.283  481.731
    0.755  470.009  474.088  479.535  480.234  481.666
    0.793  470.010  473.340  477.716  478.279  479.427
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.40   86.496  470.000  470.010  474.540  482.467
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.922  473.355  474.008  474.722
    0.076  470.001  474.118  482.745  485.046  487.600
    0.113  470.002  474.559  482.899  485.123  487.593
    0.151  470.003  475.092  483.555  485.811  488.318
    0.189  470.004  475.686  484.458  486.796  489.396
    0.227  470.005  476.275  485.382  487.808  490.511
    0.264  470.006  476.825  486.234  488.739  491.533
    0.302  470.007  477.335  487.007  489.580  492.454
    0.340  470.008  477.773  487.627  490.249  493.178
    0.378  470.009  478.131  488.081  490.727  493.687
    0.415  470.010  478.431  488.425  491.082  494.055
    0.453  470.011  478.611  488.526  491.162  494.112
    0.491  470.012  478.714  488.483  491.080  493.986
    0.529  470.014  478.730  488.276  490.814  493.654
    0.566  470.015  478.643  487.878  490.334  493.080
    0.604  470.016  478.472  487.330  489.687  492.320
    0.642  470.017  478.267  486.736  488.990  491.506
    0.680  470.018  478.021  486.083  488.229  490.622
    0.717  470.018  477.817  485.531  487.586  489.875
    0.755  470.019  477.861  485.488  487.519  489.781
    0.793  470.020  476.423  482.549  484.184  485.997
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.40   69.197  470.000  470.020  478.730  491.162
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.488  472.259  472.488  472.950
    0.076  470.000  472.181  478.458  479.264  480.912
    0.113  470.001  472.415  478.482  479.262  480.856
    0.151  470.001  472.697  478.854  479.645  481.262
    0.189  470.002  473.012  479.394  480.213  481.890
    0.227  470.002  473.323  479.950  480.800  482.542
    0.264  470.003  473.615  480.460  481.338  483.139
    0.302  470.003  473.885  480.922  481.824  483.676
    0.340  470.004  474.117  481.286  482.205  484.092
    0.378  470.004  474.306  481.546  482.473  484.379
    0.415  470.005  474.465  481.736  482.668  484.583
    0.453  470.006  474.561  481.774  482.698  484.598
    0.491  470.006  474.615  481.722  482.632  484.504
    0.529  470.007  474.624  481.569  482.458  484.287
    0.566  470.007  474.578  481.296  482.157  483.926
    0.604  470.008  474.487  480.932  481.758  483.454
    0.642  470.008  474.378  480.540  481.330  482.951
    0.680  470.009  474.248  480.113  480.866  482.408
    0.717  470.009  474.140  479.752  480.473  481.948
    0.755  470.010  474.164  479.712  480.424  481.882
    0.793  470.010  473.402  477.859  478.432  479.602
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.50   86.496  470.000  470.010  474.624  482.698
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.939  473.417  474.082  474.809
    0.076  470.001  474.195  482.981  485.324  487.926
    0.113  470.002  474.643  483.138  485.403  487.919
    0.151  470.003  475.186  483.806  486.103  488.658
    0.189  470.004  475.791  484.726  487.106  489.756
    0.227  470.005  476.391  485.667  488.138  490.891
    0.264  470.006  476.951  486.535  489.086  491.932
    0.302  470.007  477.471  487.322  489.943  492.871
    0.340  470.008  477.917  487.954  490.623  493.608
    0.378  470.009  478.281  488.416  491.111  494.126
    0.415  470.010  478.587  488.766  491.472  494.501
    0.453  470.012  478.770  488.869  491.553  494.559
    0.491  470.013  478.875  488.825  491.470  494.431
    0.529  470.014  478.891  488.614  491.199  494.092
    0.566  470.015  478.803  488.209  490.710  493.508
    0.604  470.016  478.629  487.651  490.051  492.733
    0.642  470.017  478.420  487.046  489.342  491.905
    0.680  470.018  478.170  486.381  488.566  491.005
    0.717  470.019  477.962  485.819  487.911  490.243
    0.755  470.020  478.007  485.774  487.843  490.148
    0.793  470.020  476.542  482.782  484.446  486.293
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.50   69.197  470.000  470.021  478.891  491.553
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.497  472.300  472.533  473.003
    0.076  470.000  472.221  478.611  479.433  481.111
    0.113  470.001  472.459  478.637  479.430  481.053
    0.151  470.001  472.746  479.015  479.820  481.467
    0.189  470.002  473.067  479.564  480.399  482.107
    0.227  470.002  473.384  480.130  480.996  482.771
    0.264  470.003  473.681  480.651  481.544  483.378
    0.302  470.003  473.956  481.120  482.038  483.924
    0.340  470.004  474.192  481.491  482.427  484.349
    0.378  470.005  474.385  481.756  482.700  484.641
    0.415  470.005  474.546  481.950  482.898  484.848
    0.453  470.006  474.644  481.988  482.929  484.863
    0.491  470.006  474.699  481.935  482.862  484.768
    0.529  470.007  474.708  481.779  482.685  484.547
    0.566  470.007  474.661  481.502  482.378  484.179
    0.604  470.008  474.569  481.130  481.971  483.699
    0.642  470.008  474.458  480.732  481.536  483.187
    0.680  470.009  474.326  480.297  481.063  482.634
    0.717  470.009  474.215  479.930  480.663  482.166
    0.755  470.010  474.239  479.888  480.613  482.098
    0.793  470.010  473.464  478.001  478.585  479.776
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.60   86.496  470.000  470.010  474.708  482.929
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.956  473.479  474.156  474.897
    0.076  470.001  474.271  483.217  485.603  488.252
    0.113  470.002  474.728  483.377  485.683  488.245
    0.151  470.003  475.281  484.057  486.396  488.997
    0.189  470.004  475.897  484.994  487.417  490.115
    0.227  470.005  476.507  485.952  488.467  491.271
    0.264  470.006  477.077  486.836  489.432  492.331
    0.302  470.007  477.607  487.637  490.305  493.287
    0.340  470.008  478.061  488.280  490.997  494.037
    0.378  470.009  478.432  488.751  491.494  494.565
    0.415  470.011  478.743  489.107  491.862  494.947
    0.453  470.012  478.930  489.212  491.945  495.006
    0.491  470.013  479.037  489.167  491.859  494.875
    0.529  470.014  479.053  488.953  491.584  494.531
    0.566  470.015  478.963  488.540  491.086  493.936
    0.604  470.016  478.786  487.972  490.415  493.147
    0.642  470.017  478.573  487.356  489.693  492.303
    0.680  470.018  478.318  486.679  488.904  491.387
    0.717  470.019  478.106  486.107  488.236  490.612
    0.755  470.020  478.153  486.061  488.167  490.514
    0.793  470.021  476.661  483.014  484.708  486.589
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.60   69.197  470.000  470.021  479.053  491.945
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.506  472.341  472.578  473.057
    0.076  470.000  472.261  478.765  479.601  481.309
    0.113  470.001  472.502  478.791  479.599  481.251
    0.151  470.001  472.795  479.176  479.995  481.672
    0.189  470.002  473.121  479.735  480.584  482.323
    0.227  470.002  473.444  480.311  481.192  482.999
    0.264  470.003  473.746  480.841  481.750  483.617
    0.302  470.004  474.026  481.319  482.253  484.173
    0.340  470.004  474.267  481.697  482.648  484.605
    0.378  470.005  474.463  481.965  482.926  484.903
    0.415  470.005  474.628  482.163  483.128  485.113
    0.453  470.006  474.727  482.202  483.159  485.129
    0.491  470.006  474.783  482.148  483.091  485.032
    0.529  470.007  474.792  481.989  482.911  484.807
    0.566  470.008  474.744  481.707  482.599  484.433
    0.604  470.008  474.650  481.329  482.185  483.943
    0.642  470.009  474.538  480.923  481.742  483.423
    0.680  470.009  474.403  480.481  481.261  482.860
    0.717  470.009  474.291  480.107  480.853  482.383
    0.755  470.010  474.315  480.065  480.803  482.315
    0.793  470.010  473.525  478.144  478.738  479.951
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.70   86.496  470.000  470.011  474.792  483.159
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.973  473.542  474.230  474.984
    0.076  470.001  474.347  483.453  485.881  488.579
    0.113  470.002  474.812  483.616  485.962  488.571
    0.151  470.003  475.375  484.308  486.688  489.337
    0.189  470.004  476.002  485.261  487.728  490.475
    0.227  470.005  476.623  486.237  488.796  491.651
    0.264  470.006  477.204  487.136  489.779  492.731
    0.302  470.007  477.742  487.952  490.667  493.703
    0.340  470.008  478.205  488.607  491.372  494.467
    0.378  470.010  478.582  489.086  491.877  495.004
    0.415  470.011  478.899  489.448  492.252  495.393
    0.453  470.012  479.089  489.555  492.336  495.453
    0.491  470.013  479.198  489.509  492.249  495.320
    0.529  470.014  479.215  489.291  491.969  494.969
    0.566  470.015  479.123  488.871  491.462  494.363
    0.604  470.017  478.943  488.293  490.779  493.561
    0.642  470.018  478.726  487.666  490.044  492.702
    0.680  470.019  478.467  486.976  489.241  491.769
    0.717  470.019  478.251  486.394  488.562  490.980
    0.755  470.020  478.298  486.348  488.491  490.881
    0.793  470.021  476.780  483.247  484.971  486.886
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.70   69.197  470.000  470.022  479.215  492.336
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.515  472.382  472.623  473.111
    0.076  470.000  472.300  478.919  479.769  481.508
    0.113  470.001  472.546  478.945  479.767  481.448
    0.151  470.001  472.844  479.337  480.171  481.877
    0.189  470.002  473.176  479.906  480.770  482.539
    0.227  470.002  473.505  480.492  481.389  483.227
    0.264  470.003  473.812  481.031  481.956  483.857
    0.302  470.004  474.097  481.517  482.468  484.422
    0.340  470.004  474.342  481.902  482.870  484.862
    0.378  470.005  474.541  482.175  483.153  485.164
    0.415  470.005  474.709  482.376  483.358  485.379
    0.453  470.006  474.810  482.416  483.390  485.395
    0.491  470.007  474.867  482.361  483.321  485.296
    0.529  470.007  474.876  482.200  483.137  485.067
    0.566  470.008  474.827  481.912  482.820  484.686
    0.604  470.008  474.732  481.528  482.399  484.188
    0.642  470.009  474.617  481.115  481.948  483.658
    0.680  470.009  474.480  480.665  481.458  483.085
    0.717  470.010  474.366  480.284  481.044  482.600
    0.755  470.010  474.391  480.241  480.992  482.531
    0.793  470.011  473.587  478.287  478.891  480.125
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.80   86.496  470.000  470.011  474.876  483.390
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.990  473.604  474.304  475.072
    0.076  470.001  474.423  483.689  486.159  488.905
    0.113  470.002  474.896  483.854  486.242  488.897
    0.151  470.003  475.469  484.559  486.981  489.676
    0.189  470.004  476.107  485.529  488.038  490.834
    0.227  470.005  476.739  486.522  489.126  492.031
    0.264  470.006  477.330  487.437  490.125  493.130
    0.302  470.007  477.878  488.267  491.029  494.119
    0.340  470.009  478.349  488.933  491.746  494.897
    0.378  470.010  478.733  489.421  492.261  495.443
    0.415  470.011  479.055  489.790  492.642  495.839
    0.453  470.012  479.249  489.898  492.727  495.900
    0.491  470.013  479.359  489.852  492.639  495.764
    0.529  470.015  479.376  489.630  492.354  495.407
    0.566  470.016  479.283  489.202  491.838  494.791
    0.604  470.017  479.099  488.614  491.144  493.974
    0.642  470.018  478.879  487.976  490.395  493.100
    0.680  470.019  478.616  487.274  489.578  492.151
    0.717  470.020  478.396  486.682  488.887  491.348
    0.755  470.021  478.444  486.635  488.815  491.248
    0.793  470.022  476.899  483.479  485.233  487.182
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.80   69.197  470.000  470.022  479.376  492.727
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.524  472.423  472.668  473.164
    0.076  470.000  472.340  479.073  479.937  481.707
    0.113  470.001  472.590  479.099  479.935  481.646
    0.151  470.001  472.893  479.498  480.346  482.082
    0.189  470.002  473.231  480.077  480.955  482.756
    0.227  470.002  473.565  480.673  481.585  483.455
    0.264  470.003  473.878  481.221  482.162  484.096
    0.302  470.004  474.168  481.716  482.683  484.671
    0.340  470.004  474.417  482.107  483.092  485.118
    0.378  470.005  474.620  482.385  483.379  485.426
    0.415  470.005  474.790  482.590  483.588  485.644
    0.453  470.006  474.892  482.630  483.621  485.660
    0.491  470.007  474.951  482.575  483.550  485.560
    0.529  470.007  474.960  482.410  483.364  485.327
    0.566  470.008  474.910  482.118  483.041  484.939
    0.604  470.008  474.813  481.727  482.612  484.433
    0.642  470.009  474.697  481.307  482.154  483.894
    0.680  470.009  474.557  480.849  481.655  483.311
    0.717  470.010  474.441  480.462  481.234  482.818
    0.755  470.010  474.466  480.418  481.181  482.747
    0.793  470.011  473.649  478.430  479.045  480.300
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.90   86.496  470.000  470.011  474.960  483.621
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  471.007  473.666  474.378  475.159
    0.076  470.001  474.500  483.925  486.437  489.231
    0.113  470.002  474.981  484.093  486.522  489.223
    0.151  470.003  475.563  484.810  487.273  490.016
    0.189  470.004  476.213  485.797  488.349  491.194
    0.227  470.005  476.856  486.807  489.455  492.412
    0.264  470.006  477.457  487.737  490.472  493.529
    0.302  470.007  478.014  488.582  491.391  494.535
    0.340  470.009  478.493  489.259  492.121  495.326
    0.378  470.010  478.883  489.755  492.644  495.882
    0.415  470.011  479.211  490.131  493.031  496.285
    0.453  470.012  479.408  490.241  493.119  496.347
    0.491  470.014  479.521  490.194  493.029  496.209
    0.529  470.015  479.538  489.968  492.739  495.846
    0.566  470.016  479.443  489.533  492.214  495.219
    0.604  470.017  479.256  488.935  491.508  494.388
    0.642  470.018  479.032  488.286  490.747  493.499
    0.680  470.019  478.764  487.572  489.915  492.533
    0.717  470.020  478.541  486.969  489.212  491.717
    0.755  470.021  478.589  486.922  489.139  491.614
    0.793  470.022  477.018  483.711  485.496  487.479
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     5.90   69.197  470.000  470.022  479.538  493.119
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.533  472.464  472.714  473.218
    0.076  470.000  472.380  479.226  480.106  481.905
    0.113  470.001  472.634  479.253  480.104  481.843
    0.151  470.001  472.942  479.659  480.521  482.287
    0.189  470.002  473.286  480.248  481.141  482.972
    0.227  470.003  473.626  480.854  481.781  483.683
    0.264  470.003  473.943  481.411  482.368  484.335
    0.302  470.004  474.238  481.914  482.897  484.920
    0.340  470.004  474.491  482.312  483.313  485.374
    0.378  470.005  474.698  482.595  483.606  485.688
    0.415  470.006  474.871  482.803  483.818  485.909
    0.453  470.006  474.975  482.844  483.851  485.926
    0.491  470.007  475.035  482.788  483.780  485.824
    0.529  470.007  475.044  482.620  483.590  485.587
    0.566  470.008  474.994  482.323  483.261  485.193
    0.604  470.008  474.895  481.925  482.826  484.678
    0.642  470.009  474.776  481.498  482.359  484.129
    0.680  470.010  474.635  481.033  481.853  483.537
    0.717  470.010  474.516  480.639  481.424  483.035
    0.755  470.010  474.542  480.594  481.371  482.963
    0.793  470.011  473.711  478.573  479.198  480.475
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     6.00   86.496  470.000  470.011  475.044  483.851
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  471.024  473.728  474.453  475.247
    0.076  470.001  474.576  484.161  486.716  489.557
    0.113  470.002  475.065  484.332  486.802  489.549
    0.151  470.003  475.658  485.061  487.566  490.355
    0.189  470.004  476.318  486.065  488.659  491.553
    0.227  470.005  476.972  487.092  489.784  492.792
    0.264  470.006  477.583  488.038  490.818  493.928
    0.302  470.008  478.150  488.897  491.753  494.952
    0.340  470.009  478.637  489.586  492.495  495.756
    0.378  470.010  479.034  490.090  493.027  496.321
    0.415  470.011  479.367  490.472  493.421  496.731
    0.453  470.013  479.568  490.584  493.510  496.794
    0.491  470.014  479.682  490.536  493.419  496.654
    0.529  470.015  479.700  490.306  493.124  496.284
    0.566  470.016  479.603  489.864  492.590  495.647
    0.604  470.017  479.413  489.256  491.872  494.802
    0.642  470.018  479.185  488.596  491.098  493.898
    0.680  470.020  478.913  487.870  490.252  492.916
    0.717  470.021  478.685  487.257  489.538  492.085
    0.755  470.021  478.735  487.208  489.463  491.981
    0.793  470.022  477.137  483.944  485.758  487.775
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     6.00   69.197  470.000  470.023  479.700  493.510
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.542  472.505  472.759  473.272
    0.076  470.000  472.419  479.380  480.274  482.104
    0.113  470.001  472.678  479.408  480.272  482.041
    0.151  470.001  472.991  479.820  480.696  482.492
    0.189  470.002  473.340  480.418  481.326  483.188
    0.227  470.003  473.686  481.035  481.977  483.911
    0.264  470.003  474.009  481.602  482.574  484.574
    0.302  470.004  474.309  482.113  483.112  485.168
    0.340  470.004  474.566  482.517  483.535  485.631
    0.378  470.005  474.776  482.805  483.833  485.949
    0.415  470.006  474.952  483.017  484.048  486.174
    0.453  470.006  475.058  483.058  484.082  486.191
    0.491  470.007  475.119  483.001  484.009  486.087
    0.529  470.007  475.128  482.831  483.816  485.847
    0.566  470.008  475.077  482.528  483.482  485.446
    0.604  470.009  474.977  482.124  483.039  484.923
    0.642  470.009  474.856  481.690  482.565  484.365
    0.680  470.010  474.712  481.216  482.050  483.762
    0.717  470.010  474.592  480.816  481.614  483.252
    0.755  470.011  474.618  480.771  481.560  483.179
    0.793  470.011  473.773  478.716  479.351  480.649
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     6.10   86.496  470.000  470.011  475.128  484.082
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  471.041  473.790  474.527  475.334
    0.076  470.001  474.652  484.397  486.994  489.883
    0.113  470.002  475.150  484.571  487.081  489.875
    0.151  470.003  475.752  485.312  487.858  490.695
    0.189  470.004  476.423  486.332  488.970  491.913
    0.227  470.005  477.088  487.376  490.114  493.172
    0.264  470.006  477.709  488.339  491.165  494.327
    0.302  470.008  478.286  489.211  492.115  495.368
    0.340  470.009  478.781  489.912  492.870  496.186
    0.378  470.010  479.185  490.425  493.410  496.761
    0.415  470.012  479.523  490.813  493.811  497.177
    0.453  470.013  479.727  490.927  493.901  497.241
    0.491  470.014  479.844  490.878  493.808  497.098
    0.529  470.015  479.861  490.645  493.509  496.723
    0.566  470.017  479.763  490.195  492.966  496.075
    0.604  470.018  479.570  489.577  492.236  495.216
    0.642  470.019  479.338  488.906  491.449  494.296
    0.680  470.020  479.061  488.168  490.589  493.298
    0.717  470.021  478.830  487.545  489.863  492.453
    0.755  470.022  478.880  487.495  489.787  492.347
    0.793  470.023  477.256  484.176  486.021  488.072
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     6.10   69.197  470.000  470.023  479.861  493.901
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.550  472.546  472.804  473.325
    0.076  470.000  472.459  479.534  480.442  482.302
    0.113  470.001  472.722  479.562  480.440  482.238
    0.151  470.002  473.040  479.981  480.871  482.697
    0.189  470.002  473.395  480.589  481.512  483.405
    0.227  470.003  473.746  481.216  482.173  484.140
    0.264  470.003  474.075  481.792  482.780  484.813
    0.302  470.004  474.380  482.312  483.327  485.417
    0.340  470.004  474.641  482.723  483.757  485.887
    0.378  470.005  474.855  483.015  484.059  486.211
    0.415  470.006  475.034  483.230  484.278  486.440
    0.453  470.006  475.141  483.273  484.313  486.457
    0.491  470.007  475.203  483.214  484.239  486.351
    0.529  470.008  475.212  483.041  484.042  486.107
    0.566  470.008  475.160  482.734  483.703  485.699
    0.604  470.009  475.058  482.323  483.253  485.167
    0.642  470.009  474.936  481.881  482.771  484.601
    0.680  470.010  474.789  481.400  482.248  483.988
    0.717  470.010  474.667  480.994  481.805  483.470
