 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.793  470.002  470.742  471.715  471.840  472.094
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.20   86.496  470.000  470.002  471.009  472.772
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.205  470.746  470.891  471.049
    0.076  470.000  470.915  472.832  473.346  473.909
    0.113  470.000  471.013  472.866  473.363  473.907
    0.151  470.001  471.132  473.012  473.516  474.068
    0.189  470.001  471.264  473.213  473.736  474.308
    0.227  470.001  471.394  473.418  473.961  474.555
    0.264  470.001  471.517  473.608  474.168  474.782
    0.302  470.002  471.630  473.779  474.355  474.987
    0.340  470.002  471.727  473.917  474.504  475.147
    0.378  470.002  471.807  474.018  474.611  475.260
    0.415  470.002  471.873  474.094  474.690  475.342
    0.453  470.003  471.914  474.117  474.707  475.355
    0.491  470.003  471.936  474.107  474.689  475.327
    0.529  470.003  471.940  474.061  474.630  475.253
    0.566  470.003  471.921  473.973  474.523  475.126
    0.604  470.003  471.883  473.851  474.379  474.957
    0.642  470.004  471.837  473.719  474.224  474.776
    0.680  470.004  471.783  473.574  474.054  474.580
    0.717  470.004  471.737  473.451  473.911  474.414
    0.755  470.004  471.747  473.442  473.896  474.393
    0.793  470.004  471.427  472.789  473.154  473.553
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.20   69.197  470.000  470.005  471.940  474.707
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.115  470.534  470.588  470.697
    0.076  470.000  470.516  471.999  472.191  472.578
    0.113  470.000  470.571  472.005  472.191  472.565
    0.151  470.000  470.637  472.093  472.281  472.661
    0.189  470.000  470.712  472.220  472.415  472.809
    0.227  470.001  470.786  472.352  472.554  472.963
    0.264  470.001  470.854  472.472  472.682  473.104
    0.302  470.001  470.918  472.581  472.797  473.231
    0.340  470.001  470.973  472.668  472.887  473.329
    0.378  470.001  471.018  472.729  472.950  473.397
    0.415  470.001  471.055  472.774  472.996  473.445
    0.453  470.001  471.078  472.783  473.003  473.449
    0.491  470.001  471.091  472.771  472.988  473.427
    0.529  470.002  471.093  472.734  472.947  473.375
    0.566  470.002  471.082  472.670  472.875  473.290
    0.604  470.002  471.061  472.584  472.781  473.179
    0.642  470.002  471.035  472.491  472.680  473.060
    0.680  470.002  471.004  472.390  472.570  472.932
    0.717  470.002  470.979  472.305  472.477  472.823
    0.755  470.002  470.984  472.295  472.465  472.808
    0.793  470.002  470.804  471.857  471.994  472.269
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.30   86.496  470.000  470.002  471.093  473.003
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.222  470.808  470.965  471.137
    0.076  470.000  470.991  473.068  473.625  474.235
    0.113  470.000  471.097  473.105  473.644  474.233
    0.151  470.001  471.226  473.263  473.809  474.407
    0.189  470.001  471.369  473.481  474.047  474.667
    0.227  470.001  471.511  473.703  474.291  474.935
    0.264  470.001  471.643  473.908  474.515  475.181
    0.302  470.002  471.766  474.094  474.718  475.402
    0.340  470.002  471.871  474.244  474.879  475.576
    0.378  470.002  471.957  474.353  474.995  475.699
    0.415  470.002  472.030  474.436  475.080  475.787
    0.453  470.003  472.073  474.460  475.100  475.801
    0.491  470.003  472.098  474.449  475.080  475.771
    0.529  470.003  472.102  474.400  475.016  475.691
    0.566  470.004  472.081  474.304  474.900  475.553
    0.604  470.004  472.040  474.172  474.744  475.370
    0.642  470.004  471.990  474.029  474.576  475.174
    0.680  470.004  471.931  473.872  474.392  474.962
    0.717  470.004  471.882  473.739  474.237  474.782
    0.755  470.005  471.893  473.728  474.221  474.760
    0.793  470.005  471.546  473.021  473.417  473.849
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.30   69.197  470.000  470.005  472.102  475.100
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.124  470.575  470.633  470.751
    0.076  470.000  470.555  472.153  472.360  472.777
    0.113  470.000  470.615  472.159  472.359  472.762
    0.151  470.000  470.687  472.254  472.456  472.866
    0.189  470.000  470.767  472.391  472.601  473.025
    0.227  470.001  470.846  472.533  472.751  473.191
    0.264  470.001  470.920  472.663  472.888  473.343
    0.302  470.001  470.989  472.780  473.012  473.480
    0.340  470.001  471.048  472.873  473.109  473.586
    0.378  470.001  471.096  472.939  473.177  473.659
    0.415  470.001  471.137  472.987  473.227  473.710
    0.453  470.001  471.161  472.997  473.234  473.714
    0.491  470.002  471.175  472.984  473.218  473.690
    0.529  470.002  471.177  472.945  473.173  473.635
    0.566  470.002  471.165  472.875  473.096  473.543
    0.604  470.002  471.142  472.783  472.995  473.423
    0.642  470.002  471.114  472.683  472.886  473.295
    0.680  470.002  471.081  472.574  472.767  473.157
    0.717  470.002  471.054  472.482  472.667  473.040
    0.755  470.002  471.060  472.472  472.655  473.024
    0.793  470.003  470.866  472.000  472.147  472.443
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.40   86.496  470.000  470.003  471.177  473.234
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.239  470.870  471.039  471.224
    0.076  470.000  471.068  473.304  473.904  474.560
    0.113  470.000  471.182  473.344  473.924  474.559
    0.151  470.001  471.320  473.514  474.102  474.747
    0.189  470.001  471.474  473.748  474.358  475.026
    0.227  470.001  471.627  473.988  474.621  475.314
    0.264  470.001  471.769  474.209  474.863  475.579
    0.302  470.002  471.902  474.409  475.081  475.818
    0.340  470.002  472.015  474.570  475.255  476.005
    0.378  470.002  472.108  474.688  475.379  476.137
    0.415  470.003  472.186  474.777  475.471  476.232
    0.453  470.003  472.232  474.803  475.492  476.247
    0.491  470.003  472.259  474.792  475.470  476.215
    0.529  470.004  472.263  474.738  475.401  476.129
    0.566  470.004  472.241  474.635  475.276  475.980
    0.604  470.004  472.196  474.493  475.108  475.783
    0.642  470.004  472.143  474.339  474.927  475.573
    0.680  470.005  472.080  474.170  474.730  475.344
    0.717  470.005  472.027  474.027  474.563  475.150
    0.755  470.005  472.038  474.015  474.545  475.126
    0.793  470.005  471.665  473.254  473.679  474.146
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.40   69.197  470.000  470.005  472.263  475.492
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.133  470.616  470.679  470.804
    0.076  470.000  470.595  472.307  472.528  472.975
    0.113  470.000  470.659  472.313  472.527  472.960
    0.151  470.000  470.736  472.415  472.632  473.070
    0.189  470.000  470.821  472.562  472.787  473.242
    0.227  470.001  470.906  472.714  472.947  473.419
    0.264  470.001  470.986  472.853  473.094  473.582
    0.302  470.001  471.060  472.979  473.227  473.728
    0.340  470.001  471.123  473.078  473.331  473.842
    0.378  470.001  471.174  473.149  473.404  473.920
    0.415  470.001  471.218  473.201  473.457  473.975
    0.453  470.002  471.244  473.211  473.465  473.979
    0.491  470.002  471.259  473.197  473.447  473.954
    0.529  470.002  471.261  473.155  473.400  473.895
    0.566  470.002  471.248  473.081  473.318  473.796
    0.604  470.002  471.224  472.981  473.209  473.668
    0.642  470.002  471.194  472.875  473.092  473.531
    0.680  470.002  471.159  472.758  472.965  473.383
    0.717  470.002  471.129  472.660  472.858  473.257
    0.755  470.003  471.136  472.649  472.844  473.240
    0.793  470.003  470.928  472.143  472.301  472.618
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.50   86.496  470.000  470.003  471.261  473.465
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.256  470.932  471.113  471.311
    0.076  470.000  471.144  473.540  474.183  474.886
    0.113  470.000  471.266  473.583  474.204  474.884
    0.151  470.001  471.414  473.765  474.395  475.086
    0.189  470.001  471.579  474.016  474.669  475.385
    0.227  470.001  471.743  474.273  474.951  475.694
    0.264  470.002  471.896  474.510  475.210  475.978
    0.302  470.002  472.037  474.724  475.444  476.233
    0.340  470.002  472.159  474.896  475.630  476.434
    0.378  470.003  472.258  475.023  475.763  476.575
    0.415  470.003  472.342  475.118  475.862  476.678
    0.453  470.003  472.392  475.146  475.884  476.693
    0.491  470.003  472.421  475.134  475.861  476.659
    0.529  470.004  472.425  475.077  475.787  476.566
    0.566  470.004  472.401  474.966  475.653  476.407
    0.604  470.004  472.353  474.814  475.473  476.196
    0.642  470.005  472.296  474.649  475.279  475.971
    0.680  470.005  472.228  474.467  475.068  475.725
    0.717  470.005  472.171  474.314  474.889  475.518
    0.755  470.005  472.184  474.302  474.870  475.492
    0.793  470.006  471.784  473.486  473.942  474.442
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.50   69.197  470.000  470.006  472.425  475.884
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.142  470.657  470.724  470.858
    0.076  470.000  470.635  472.460  472.697  473.173
    0.113  470.000  470.702  472.468  472.696  473.157
    0.151  470.000  470.785  472.576  472.807  473.275
    0.189  470.001  470.876  472.733  472.973  473.458
    0.227  470.001  470.967  472.894  473.144  473.647
    0.264  470.001  471.052  473.043  473.300  473.821
    0.302  470.001  471.130  473.177  473.442  473.977
    0.340  470.001  471.198  473.283  473.553  474.098
    0.378  470.001  471.253  473.359  473.631  474.181
    0.415  470.001  471.299  473.414  473.687  474.240
    0.453  470.002  471.327  473.425  473.696  474.245
    0.491  470.002  471.343  473.410  473.677  474.218
    0.529  470.002  471.345  473.365  473.626  474.155
    0.566  470.002  471.332  473.286  473.539  474.050
    0.604  470.002  471.305  473.180  473.422  473.912
    0.642  470.002  471.274  473.066  473.298  473.766
    0.680  470.003  471.236  472.942  473.163  473.608
    0.717  470.003  471.204  472.837  473.048  473.475
    0.755  470.003  471.211  472.825  473.034  473.456
    0.793  470.003  470.990  472.286  472.454  472.792
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.60   86.496  470.000  470.003  471.345  473.696
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.273  470.994  471.188  471.399
    0.076  470.000  471.220  473.776  474.461  475.212
    0.113  470.001  471.351  473.822  474.484  475.210
    0.151  470.001  471.509  474.016  474.688  475.425
    0.189  470.001  471.685  474.284  474.980  475.744
    0.227  470.001  471.859  474.558  475.281  476.074
    0.264  470.002  472.022  474.810  475.557  476.376
    0.302  470.002  472.173  475.039  475.807  476.649
    0.340  470.002  472.303  475.223  476.005  476.863
    0.378  470.003  472.409  475.357  476.147  477.014
    0.415  470.003  472.498  475.459  476.252  477.123
    0.453  470.003  472.551  475.489  476.276  477.140
    0.491  470.004  472.582  475.476  476.251  477.103
    0.529  470.004  472.587  475.415  476.173  477.004
    0.566  470.004  472.561  475.297  476.030  476.835
    0.604  470.005  472.510  475.135  475.838  476.610
    0.642  470.005  472.449  474.959  475.631  476.369
    0.680  470.005  472.377  474.765  475.405  476.107
    0.717  470.005  472.316  474.602  475.214  475.886
    0.755  470.006  472.329  474.589  475.194  475.858
    0.793  470.006  471.903  473.718  474.205  474.738
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.60   69.197  470.000  470.006  472.587  476.276
 
 ==================================================================
 
 
       TEMPERATURES IN AVERAGE CHANNEL       
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.151  470.698  470.769  470.912
    0.076  470.000  470.674  472.614  472.865  473.372
    0.113  470.000  470.746  472.622  472.864  473.354
    0.151  470.000  470.834  472.737  472.983  473.480
    0.189  470.001  470.931  472.903  473.158  473.674
    0.227  470.001  471.027  473.075  473.340  473.875
    0.264  470.001  471.117  473.233  473.507  474.060
    0.302  470.001  471.201  473.376  473.657  474.225
    0.340  470.001  471.273  473.488  473.775  474.354
    0.378  470.001  471.331  473.569  473.858  474.443
    0.415  470.002  471.380  473.628  473.918  474.505
    0.453  470.002  471.410  473.639  473.927  474.510
    0.491  470.002  471.427  473.623  473.907  474.481
    0.529  470.002  471.429  473.576  473.853  474.414
    0.566  470.002  471.415  473.492  473.760  474.303
    0.604  470.002  471.387  473.379  473.636  474.157
    0.642  470.003  471.353  473.258  473.504  474.002
    0.680  470.003  471.313  473.126  473.360  473.834
    0.717  470.003  471.280  473.014  473.239  473.692
    0.755  470.003  471.287  473.002  473.223  473.672
    0.793  470.003  471.051  472.429  472.607  472.967
 
                            LSSS Results                           
    POWER      W      T_IN    T_OUT    TC_MAX   TF_MAX
     1.70   86.496  470.000  470.003  471.429  473.927
 
 ==================================================================
 
 
         TEMPERATURES IN HOT CHANNEL         
   HEIGHT      TC       TW       TG      TCL     TCLT
    0.038  470.000  470.290  471.056  471.262  471.486
    0.076  470.000  471.297  474.012  474.740  475.538
    0.113  470.001  471.435  474.061  474.764  475.536
    0.151  470.001  471.603  474.267  474.981  475.764
    0.189  470.001  471.790  474.552  475.292  476.103
    0.227  470.001  471.975  474.843  475.611  476.454
    0.264  470.002  472.149  475.111  475.904  476.775
    0.302  470.002  472.309  475.354  476.169  477.065
    0.340  470.002  472.447  475.549  476.380  477.292
    0.378  470.003  472.560  475.692  476.531  477.452
